2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
1,1,Ecole hôtelière de Lausanne (EHL Hospitality Business School),Switzerland,,,,,,99.2
2,3,SHMS - Swiss Hotel Management School,Switzerland,,,,,,91
3,6,Cesar Ritz Colleges,Switzerland,,,,,,90.8
4,2,University of Nevada - Las Vegas,United States,,,,,,89.5
5,4,Les Roches Global Hospitality Education,Switzerland,,,,,,88.5
6,7,Hotel Institute Montreux - HIM,Switzerland,,,,,,87.7
7,8,Culinary Arts Academy Switzerland,Switzerland,,,,,,87.4
8,5,Glion Institute of Higher Education,Switzerland,,,,,,86.8
9,13,The Emirates Academy of Hospitality Management (EAHM),United Arab Emirates,,,,,,81
10,9,Hotelschool The Hague,Netherlands,,,,,,80.1
11,12,The Hong Kong Polytechnic University,Hong Kong SAR,,,,,,71.9
12,10,Macao Institute for Tourism Studies (IFTM),Macau SAR,,,,,,71.6
13,11,Hotel School Vatel,France,,,,,,71.2
14,20,Cornell University | School of Hotel Administration,United States,,,,,,69.1
15,15,University of Surrey,United Kingdom,,,,,,69
16,14,Escuela Universitaria de hosteleria y turismo de Sant Pol de Mar,Spain,,,,,,68.7
17,19,Bournemouth University,United Kingdom,,,,,,65.3
17,21,"IMI-Luzern - International Hotel Management School, Switzerland",Switzerland,,,,,,65.3
19,17,Taylor's University,Malaysia,,,,,,64.6
20,24,Oxford Brookes University,United Kingdom,,,,,,64.1
21,23,Pennsylvania State University | School of Hospitality Management,United States,,,,,,63.8
22,16,University of Central Florida,United States,,,,,,63.3
23,18,"Hotel and Tourism Management Institute, Switzerland",Switzerland,,,,,,62.8
24,29,Griffith University,Australia,,,,,,62.7
25,22,Blue Mountains International Hotel Management School (BMIHMS),Australia,,,,,,62.2
26,25,Virginia Polytechnic Institute and State University,United States,,,,,,61.3
27,27=,The University of Queensland,Australia,,,,,,60.4
28,27=,NHTV Breda University of Applied Sciences,Netherlands,,,,,,60.3
29,51-100,Florida State University,United States,,,,,,59.2
29,46=,Management and Science University,Malaysia,,,,,,59.2
31,35,Florida International University,United States,,,,,,58.9
31,37,University of Florida,United States,,,,,,58.9
33,36,University of Derby,United Kingdom,,,,,,58
34,26,"Nanyang Technological University, Singapore (NTU)",Singapore,,,,,,57.9
35,33,University of Houston,United States,,,,,,57.8
36,32,Michigan State University,United States,,,,,,57.4
37,30,Washington State University,United States,,,,,,57.2
38,38,National Kaohsiung University of Hospitality and Tourism,Taiwan,,,,,,56.2
39,41,Ural Federal University - UrFU,Russia,,,,,,56
40,39,Business and hotel management school - bhms,Switzerland,,,,,,55.7
41,43,Texas A&M University,United States,,,,,,55.5
42,44,Purdue University,United States,,,,,,55.3
43,46=,Sejong University ,South Korea,,,,,,54.7
44,,University of Otago,New Zealand,,,,,,54.6
45,51-100,Temple University,United States,,,,,,54.4
46,,University of Hawaiʻi at Mānoa,United States,,,,,,54.3
47,51-100,Lomonosov Moscow State University,Russia,,,,,,54.2
47,51-100,University of Strathclyde,United Kingdom,,,,,,54.2
49,51-100,L.N. Gumilyov Eurasian National University (ENU),Kazakhstan,,,,,,54.1
49,,Plekhanov Russian University of Economics,Russia,,,,,,54.1
51-100,51-100,Arizona State University,United States,,,,,,
51-100,51-100,Auckland University of Technology (AUT),New Zealand,,,,,,
51-100,51-100,Ca' Foscari University of Venice ,Italy,,,,,,
51-100,101-150,Chandigarh University,India,,,,,,
51-100,51-100,Clemson University,United States,,,,,,
51-100,31,Ecole Hoteliere de Geneve,Switzerland,,,,,,
51-100,51-100,Fudan University,China (Mainland),,,,,,
51-100,51-100,George Washington University,United States,,,,,,
51-100,51-100,Institute Paul Bocuse,France,,,,,,
51-100,51-100,International Hotel School,South Africa,,,,,,
51-100,51-100,James Cook University,Australia,,,,,,
51-100,51-100,Kyung Hee University,South Korea,,,,,,
51-100,48,Leeds Beckett University,United Kingdom,,,,,,
51-100,101-150,Lincoln University ,New Zealand,,,,,,
51-100,50,Manchester Metropolitan University (MMU),United Kingdom,,,,,,
51-100,51-100,Middlesex University,United Kingdom,,,,,,
51-100,51-100,Monash University,Australia,,,,,,
51-100,51-100,North Carolina State University,United States,,,,,,
51-100,101-150,Oklahoma State University ,United States,,,,,,
51-100,51-100,RUDN University,Russia,,,,,,
51-100,45,SAIT Polytechnic - School of Hospitality and Tourism,Canada,,,,,,
51-100,51-100,Sheffield Hallam University,United Kingdom,,,,,,
51-100,40,Sun Yat-sen University,China (Mainland),,,,,,
51-100,,Technological University Dublin,Ireland,,,,,,
51-100,51-100,Texas Tech University,United States,,,,,,
51-100,51-100,The Chinese University of Hong Kong (CUHK),Hong Kong SAR,,,,,,
51-100,101-150,The University of Auckland,New Zealand,,,,,,
51-100,51-100,The University of Hong Kong,Hong Kong SAR,,,,,,
51-100,51-100,The University of New South Wales (UNSW Sydney),Australia,,,,,,
51-100,34,UCSI University,Malaysia,,,,,,
51-100,51-100,Ulster University,United Kingdom,,,,,,
51-100,,Universidad Anáhuac México,Mexico,,,,,,
51-100,101-150,Universidad Autónoma del Estado de México (UAEMex),Mexico,,,,,,
51-100,51-100,Universidade de São Paulo,Brazil,,,,,,
51-100,,Università Commerciale Luigi Bocconi (Bocconi University),Italy,,,,,,
51-100,51-100,Universitat de Barcelona,Spain,,,,,,
51-100,51-100,Universiti Teknologi MARA - UiTM,Malaysia,,,,,,
51-100,51-100,University of Alicante,Spain,,,,,,
51-100,51-100,University of Amsterdam,Netherlands,,,,,,
51-100,51-100,University of British Columbia,Canada,,,,,,
51-100,51-100,University of Calgary,Canada,,,,,,
51-100,51-100,University of Guelph,Canada,,,,,,
51-100,,University of Jordan,Jordan,,,,,,
51-100,51-100,University of Lausanne,Switzerland,,,,,,
51-100,51-100,University of Macau,Macau SAR,,,,,,
51-100,51-100,University of Massachusetts Amherst,United States,,,,,,
51-100,42,University of South Carolina,United States,,,,,,
51-100,49,University of South Florida,United States,,,,,,
51-100,51-100,University of Waterloo,Canada,,,,,,
51-100,101-150,Victoria University of Wellington,New Zealand,,,,,,
51-100,51-100,Zhejiang University,China (Mainland),,,,,,
101-150,,Al-Ahliyya Amman University,Jordan,,,,,,
101-150,101-150,Alma Mater Studiorum - University of Bologna,Italy,,,,,,
101-150,,Amity University,India,,,,,,
101-150,101-150,Auburn University,United States,,,,,,
101-150,101-150,Boğaziçi University,Turkey,,,,,,
101-150,101-150,Boston University | School of Hospitality Administration,United States,,,,,,
101-150,101-150,Cairo University,Egypt,,,,,,
101-150,101-150,Colorado State University,United States,,,,,,
101-150,,Copenhagen Business School,Denmark,,,,,,
101-150,51-100,Duy Tan University,Vietnam,,,,,,
101-150,151-160,Edinburgh Napier University,United Kingdom,,,,,,
101-150,51-100,"ESSEC Business School, Paris",France,,,,,,
101-150,51-100,Hanyang University,South Korea,,,,,,
101-150,,Heriot-Watt University,United Kingdom,,,,,,
101-150,101-150,HSE University,Russia,,,,,,
101-150,,Instituto Politécnico Nacional (IPN),Mexico,,,,,,
101-150,51-100,Johnson & Wales University,United States,,,,,,
101-150,101-150,Lund University,Sweden,,,,,,
101-150,101-150,Mahidol University,Thailand,,,,,,
101-150,51-100,New York University (NYU),United States,,,,,,
101-150,,Panjab University,India,,,,,,
101-150,101-150,Prince of Songkla University,Thailand,,,,,,
101-150,,Saint Petersburg State University,Russia,,,,,,
101-150,51-100,Shanghai Jiao Tong University,China (Mainland),,,,,,
101-150,101-150,Sunway University,Malaysia,,,,,,
101-150,,Taras Shevchenko National University of Kyiv,Ukraine,,,,,,
101-150,,The University of Arizona,United States,,,,,,
101-150,101-150,The University of Manchester,United Kingdom,,,,,,
101-150,,Tsinghua University,China (Mainland),,,,,,
101-150,101-150,Universidad Autónoma de Madrid,Spain,,,,,,
101-150,,Universidad de Chile,Chile,,,,,,
101-150,,Universidad de Guadalajara (UDG),Mexico,,,,,,
101-150,101-150,Universidad de las Américas Puebla (UDLAP),Mexico,,,,,,
101-150,101-150,Universidad de Sevilla,Spain,,,,,,
101-150,51-100,Universidad Externado de Colombia ,Colombia,,,,,,
101-150,,Universidad Nacional de La Plata (UNLP),Argentina,,,,,,
101-150,51-100,Universidad Panamericana (UP),Mexico,,,,,,
101-150,101-150,Universidad San Francisco de Quito (USFQ),Ecuador,,,,,,
101-150,,Universitat de Valencia,Spain,,,,,,
101-150,51-100,Universitat Ramon Llull,Spain,,,,,,
101-150,151-160,Université de Toulouse II-Le Mirail,France,,,,,,
101-150,101-150,University of Alberta,Canada,,,,,,
101-150,101-150,University of Birmingham,United Kingdom,,,,,,
101-150,51-100,University of Denver,United States,,,,,,
101-150,101-150,University of Galway,Ireland,,,,,,
101-150,101-150,University of Leeds,United Kingdom,,,,,,
101-150,,University of Nottingham,United Kingdom,,,,,,
101-150,51-100,University of South Australia,Australia,,,,,,
101-150,,Yarmouk University,Jordan,,,,,,
