2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
1,1  ,Harvard University,United States,,,,,,98
2,2  ,University of Oxford,United Kingdom,,,,,,95.3
3,3  ,The London School of Economics and Political Science (LSE),United Kingdom,,,,,,92.8
4,4  ,University of Cambridge,United Kingdom,,,,,,92.5
5,5  ,Stanford University,United States,,,,,,92.1
6,6  ,National University of Singapore (NUS),Singapore,,,,,,92
7,8  ,The University of Edinburgh,United Kingdom,,,,,,90.8
8,7  ,"University of California, Berkeley (UCB)",United States,,,,,,90.6
9,,Yale University,United States,,,,,,88.1
10,9  ,Massachusetts Institute of Technology (MIT) ,United States,,,,,,87.5
11,24  ,Stockholm University,Sweden,,,,,,87
12,13  ,Sciences Po ,France,,,,,,86.5
13,11  ,Columbia University,United States,,,,,,86.3
14,28=,The Australian National University,Australia,,,,,,86.1
15,12  ,University of Chicago,United States,,,,,,85.8
16,16  ,University of Toronto,Canada,,,,,,85.5
17,19  ,Yonsei University,South Korea,,,,,,85.1
18,40=,University of Amsterdam,Netherlands,,,,,,84.8
19,17  ,Syracuse University,United States,,,,,,84.1
20,25  ,KU Leuven,Belgium,,,,,,83.8
21,10  ,The University of Hong Kong,Hong Kong SAR,,,,,,83.7
22,18  ,Princeton University,United States,,,,,,83.6
=23,23  ,The University of Melbourne,Australia,,,,,,83.5
=23,14  ,University of Bristol,United Kingdom,,,,,,83.5
25,26  ,UCL,United Kingdom,,,,,,82.8
26,20  ,Seoul National University,South Korea,,,,,,82.7
=27,15  ,Indiana University Bloomington,United States,,,,,,82.6
=27,39  ,King's College London,United Kingdom,,,,,,82.6
=29,28=,The University of Tokyo,Japan,,,,,,82.5
=29,32=,University of British Columbia,Canada,,,,,,82.5
=29,32=,Utrecht University,Netherlands,,,,,,82.5
32,36  ,The University of Sydney,Australia,,,,,,81.6
33,,The University of Manchester,United Kingdom,,,,,,81.4
=34,38  ,Universidad Nacional Autónoma de México (UNAM),Mexico,,,,,,81.1
=34,27  ,University of Michigan-Ann Arbor,United States,,,,,,81.1
36,51-100,Universität Bremen,Germany,,,,,,80.7
37,51-100,Pontificia Universidad Católica de Chile (UC),Chile,,,,,,80.2
38,,Università Commerciale Luigi Bocconi (Bocconi University),Italy,,,,,,79.5
39,28=,University of York,United Kingdom,,,,,,79.4
=40,37  ,Korea University,South Korea,,,,,,79.3
=40,32=,Leiden University,Netherlands,,,,,,79.3
=42,46  ,National Taiwan University (NTU),Taiwan,,,,,,79.1
=42,,Universidade de São Paulo,Brazil,,,,,,79.1
=42,43=,University of Washington,United States,,,,,,79.1
=45,,McGill University,Canada,,,,,,78.9
=45,43=,University of Southern California,United States,,,,,,78.9
47,22  ,"University of California, Los Angeles (UCLA)",United States,,,,,,78.7
48,47  ,Aarhus University,Denmark,,,,,,78.6
49,35  ,The University of Georgia,United States,,,,,,78.4
=50,40=,Johns Hopkins University,United States,,,,,,78.3
=50,,Renmin (People's) University of China,China (Mainland),,,,,,78.3
51-100,51-100,Alma Mater Studiorum - University of Bologna,Italy,,,,,,
51-100,51-100,American University,United States,,,,,,
51-100,51-100,Boston University,United States,,,,,,
51-100,51-100,Central European University,Austria,,,,,,
51-100,50  ,City University of Hong Kong,Hong Kong SAR,,,,,,
51-100,51-100,Cornell University,United States,,,,,,
51-100,51-100,Duke University,United States,,,,,,
51-100,51-100,Erasmus University Rotterdam ,Netherlands,,,,,,
51-100,51-100,ETH Zurich - Swiss Federal Institute of Technology,Switzerland,,,,,,
51-100,51-100,European University Institute,Italy,,,,,,
51-100,51-100,Freie Universitaet Berlin,Germany,,,,,,
51-100,51-100,Fudan University,China (Mainland),,,,,,
51-100,51-100,George Washington University,United States,,,,,,
51-100,51-100,HSE University,Russia,,,,,,
51-100,,Humboldt-Universität zu Berlin,Germany,,,,,,
51-100,51-100,Kyoto University,Japan,,,,,,
51-100,51-100,"Lingnan University, Hong Kong",Hong Kong SAR,,,,,,
51-100,51-100,Lomonosov Moscow State University,Russia,,,,,,
51-100,101-130,"Nanyang Technological University, Singapore (NTU)",Singapore,,,,,,
51-100,51-100,New York University (NYU),United States,,,,,,
51-100,28=,Peking University,China (Mainland),,,,,,
51-100,101-130,Pontificia Universidad Católica del Perú,Peru,,,,,,
51-100,51-100,Queen's University Belfast,United Kingdom,,,,,,
51-100,51-100,Rutgers University–Newark,United States,,,,,,
51-100,51-100,Sungkyunkwan University(SKKU),South Korea,,,,,,
51-100,51-100,The Chinese University of Hong Kong (CUHK),Hong Kong SAR,,,,,,
51-100,51-100,The University of Auckland,New Zealand,,,,,,
51-100,51-100,The University of New South Wales (UNSW Sydney),Australia,,,,,,
51-100,51-100,The University of Queensland,Australia,,,,,,
51-100,51-100,The University of Sheffield,United Kingdom,,,,,,
51-100,101-130,"Trinity College Dublin, The University of Dublin",Ireland,,,,,,
51-100,42  ,Tsinghua University,China (Mainland),,,,,,
51-100,,Universidad Nacional de Colombia,Colombia,,,,,,
51-100,51-100,Universitat de Barcelona,Spain,,,,,,
51-100,51-100,Universitat Pompeu Fabra (Barcelona),Spain,,,,,,
