2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
1,1  ,Massachusetts Institute of Technology (MIT) ,United States,,,,,,95.5
2,3  ,"University of California, Berkeley (UCB)",United States,,,,,,93.5
3,2  ,Delft University of Technology,Netherlands,,,,,,93.2
4,4  ,National University of Singapore (NUS),Singapore,,,,,,92.5
5,5  ,ETH Zurich - Swiss Federal Institute of Technology,Switzerland,,,,,,91.5
6,11  ,Tsinghua University,China (Mainland),,,,,,91
7,7  ,Imperial College London,United Kingdom,,,,,,90.7
8,6  ,University of Cambridge,United Kingdom,,,,,,90.6
9,9  ,"Nanyang Technological University, Singapore (NTU)",Singapore,,,,,,90.2
10,8  ,Stanford University,United States,,,,,,90
11,10  ,EPFL,Switzerland,,,,,,87.1
12,12  ,Politecnico di Milano,Italy,,,,,,86.8
13,13  ,University of Oxford,United Kingdom,,,,,,86.7
14,22=,The Hong Kong Polytechnic University,Hong Kong SAR,,,,,,86.2
15,14  ,University of Illinois at Urbana-Champaign,United States,,,,,,85.7
16,24  ,Tongji University,China (Mainland),,,,,,85
=17,17  ,Purdue University,United States,,,,,,84.5
=17,16  ,The University of New South Wales (UNSW Sydney),Australia,,,,,,84.5
=17,15  ,University of Texas at Austin,United States,,,,,,84.5
20,26=,The University of Hong Kong,Hong Kong SAR,,,,,,84.2
21,25  ,The University of Tokyo,Japan,,,,,,84.1
22,18  ,Georgia Institute of Technology,United States,,,,,,83.1
=23,20  ,The University of Sydney,Australia,,,,,,83
=23,26=,"University of California, Los Angeles (UCLA)",United States,,,,,,83
25,22=,The University of Melbourne,Australia,,,,,,82.5
26,29  ,Texas A&M University,United States,,,,,,82.4
27,28  ,The Hong Kong University of Science and Technology,Hong Kong SAR,,,,,,82.3
28,19  ,University of Toronto,Canada,,,,,,82.2
29,38=,Pontificia Universidad Católica de Chile (UC),Chile,,,,,,81.2
30,21  ,University of British Columbia,Canada,,,,,,81
31,31=,University of Michigan-Ann Arbor,United States,,,,,,80.6
32,36=,Shanghai Jiao Tong University,China (Mainland),,,,,,80.5
33,33=,Politecnico di Torino,Italy,,,,,,79.6
34,31=,Monash University,Australia,,,,,,79.5
=35,30  ,California Institute of Technology (Caltech),United States,,,,,,79.1
=35,42  ,UCL,United Kingdom,,,,,,79.1
37,48  ,King Fahd University of Petroleum & Minerals,Saudi Arabia,,,,,,79
38,45=,Universidade de São Paulo,Brazil,,,,,,78.9
39,51-100,Indian Institute of Technology Delhi (IITD),India,,,,,,78.8
=40,40=,Technical University of Munich,Germany,,,,,,78.7
=40,35  ,Universitat Politècnica de Catalunya · BarcelonaTech (UPC),Spain,,,,,,78.7
42,51-100,Indian Institute of Technology Bombay (IITB),India,,,,,,78.6
43,43  ,The University of Manchester,United Kingdom,,,,,,78.5
=44,40=,Technical University of Denmark,Denmark,,,,,,78.3
=44,51-100,Zhejiang University,China (Mainland),,,,,,78.3
46,45=,The University of Auckland,New Zealand,,,,,,78.2
47,45=,The University of Queensland,Australia,,,,,,78
48,50  ,Universidad Nacional Autónoma de México (UNAM),Mexico,,,,,,77.6
=49,44  ,KTH Royal Institute of Technology ,Sweden,,,,,,77.3
=49,38=,Universidad Politécnica de Madrid (UPM),Spain,,,,,,77.3
51-100,51-100,Carnegie Mellon University,United States,,,,,,
51-100,101-150,City University of Hong Kong,Hong Kong SAR,,,,,,
51-100,51-100,Columbia University,United States,,,,,,
51-100,51-100,Cornell University,United States,,,,,,
51-100,51-100,Curtin University,Australia,,,,,,
51-100,51-100,Ecole des Ponts ParisTech,France,,,,,,
51-100,,Eindhoven University of Technology,Netherlands,,,,,,
51-100,51-100,Harbin Institute of Technology,China (Mainland),,,,,,
51-100,101-150,Indian Institute of Technology Kanpur (IITK),India,,,,,,
51-100,51-100,Indian Institute of Technology Kharagpur (IIT-KGP),India,,,,,,
51-100,51-100,Indian Institute of Technology Madras (IITM),India,,,,,,
51-100,101-150,Indian Institute of Technology Roorkee (IITR),India,,,,,,
51-100,36=,KAIST - Korea Advanced Institute of Science & Technology,South Korea,,,,,,
51-100,51-100,KU Leuven,Belgium,,,,,,
51-100,51-100,Kyoto University,Japan,,,,,,
51-100,51-100,McGill University,Canada,,,,,,
51-100,51-100,National Taiwan University (NTU),Taiwan,,,,,,
51-100,51-100,National Technical University of Athens,Greece,,,,,,
51-100,51-100,Newcastle University,United Kingdom,,,,,,
51-100,51-100,Northwestern University,United States,,,,,,
51-100,51-100,Norwegian University of Science And Technology,Norway,,,,,,
51-100,51-100,Pennsylvania State University,United States,,,,,,
51-100,51-100,Princeton University,United States,,,,,,
51-100,51-100,RMIT University,Australia,,,,,,
51-100,51-100,RWTH Aachen University,Germany,,,,,,
51-100,51-100,Sapienza University of Rome,Italy,,,,,,
51-100,33=,Seoul National University,South Korea,,,,,,
51-100,101-150,Southeast University,China (Mainland),,,,,,
51-100,51-100,Technische Universität Berlin (TU Berlin),Germany,,,,,,
51-100,51-100,The University of Edinburgh,United Kingdom,,,,,,
51-100,51-100,The University of Sheffield,United Kingdom,,,,,,
51-100,51-100,The University of Western Australia,Australia,,,,,,
51-100,51-100,Tokyo Institute of Technology (Tokyo Tech),Japan,,,,,,
51-100,101-150,Universidad de Chile,Chile,,,,,,
51-100,,Université Paris-Saclay,France,,,,,,
51-100,51-100,Universiti Malaya (UM),Malaysia,,,,,,
51-100,51-100,Universiti Teknologi Malaysia ,Malaysia,,,,,,
51-100,101-150,University of Birmingham,United Kingdom,,,,,,
51-100,51-100,University of Bristol,United Kingdom,,,,,,
51-100,51-100,"University of California, Davis",United States,,,,,,
51-100,51-100,"University of California, San Diego (UCSD)",United States,,,,,,
