2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
1,1  ,University of Sussex,United Kingdom,,,,,,96.8
2,4  ,University of Oxford,United Kingdom,,,,,,93
=3,2  ,SOAS University of London ,United Kingdom,,,,,,92.7
=3,3  ,The London School of Economics and Political Science (LSE),United Kingdom,,,,,,92.7
5,6  ,University of Cambridge,United Kingdom,,,,,,91.5
6,5  ,Harvard University,United States,,,,,,91
7,8=,Wageningen University & Research,Netherlands,,,,,,88.1
8,8=,"University of California, Berkeley (UCB)",United States,,,,,,87.5
9,,National University of Singapore (NUS),Singapore,,,,,,87.4
=10,14  ,The Australian National University,Australia,,,,,,87.2
=10,7  ,The University of Manchester,United Kingdom,,,,,,87.2
12,10  ,Stanford University,United States,,,,,,87
13,17  ,Princeton University,United States,,,,,,84.1
14,,UCL,United Kingdom,,,,,,83.7
=15,16  ,Columbia University,United States,,,,,,83.2
=15,12  ,University of Cape Town,South Africa,,,,,,83.2
17,15  ,The University of Melbourne,Australia,,,,,,83
18,24  ,Cornell University,United States,,,,,,82.6
19,11  ,University of East Anglia (UEA),United Kingdom,,,,,,82.3
=20,,Jawaharlal Nehru University,India,,,,,,81.3
=20,39=,Johns Hopkins University,United States,,,,,,81.3
=20,18  ,University of Chicago,United States,,,,,,81.3
23,19  ,"University of California, Los Angeles (UCLA)",United States,,,,,,80.9
24,13  ,Erasmus University Rotterdam ,Netherlands,,,,,,80.6
25,25  ,University of British Columbia,Canada,,,,,,80.4
=26,26  ,Leiden University,Netherlands,,,,,,79.7
=26,27  ,The University of Tokyo,Japan,,,,,,79.7
28,,"Nanyang Technological University, Singapore (NTU)",Singapore,,,,,,79.4
29,20  ,University of Leeds,United Kingdom,,,,,,79.2
=30,50  ,King's College London,United Kingdom,,,,,,78.7
=30,29  ,Massey University,New Zealand,,,,,,78.7
32,36  ,McGill University,Canada,,,,,,78.3
33,35  ,Boston University,United States,,,,,,78
=34,34  ,The University of Sydney,Australia,,,,,,77.9
=34,22=,University of Amsterdam,Netherlands,,,,,,77.9
36,21  ,University of Toronto,Canada,,,,,,77.7
37,30=,Universidad Nacional Autónoma de México (UNAM),Mexico,,,,,,77.3
38,45  ,Yonsei University,South Korea,,,,,,77.1
39,46  ,Ghent University,Belgium,,,,,,76.9
40,39=,Universidad de los Andes,Colombia,,,,,,76.8
41,51-100,University of Wisconsin-Madison,United States,,,,,,76.5
42,39=,The University of Hong Kong,Hong Kong SAR,,,,,,76.2
43,49  ,University of Delhi,India,,,,,,76.1
=44,33  ,Makerere University,Uganda,,,,,,75.9
=44,32  ,University of Witwatersrand,South Africa,,,,,,75.9
=46,,Pennsylvania State University,United States,,,,,,75.6
=46,47=,The University of Queensland,Australia,,,,,,75.6
48,30=,The University of Edinburgh,United Kingdom,,,,,,75.5
=49,51-100,Newcastle University,United Kingdom,,,,,,75.1
=49,39=,Université Paris 1 Panthéon-Sorbonne ,France,,,,,,75.1
=49,44  ,"University of California, Davis",United States,,,,,,75.1
51-100,, Western Sydney University,Australia,,,,,,
51-100,51-100,American University,United States,,,,,,
51-100,51-100,American University of Beirut (AUB),Lebanon,,,,,,
51-100,51-100,"Asian Institute of Technology, Thailand",Thailand,,,,,,
51-100,51-100,Brown University,United States,,,,,,
51-100,,Cairo University,Egypt,,,,,,
51-100,51-100,Chulalongkorn University,Thailand,,,,,,
51-100,,Deakin University,Australia,,,,,,
51-100,51-100,Duke University,United States,,,,,,
51-100,51-100,Fudan University,China (Mainland),,,,,,
51-100,51-100,George Washington University,United States,,,,,,
51-100,,Humboldt-Universität zu Berlin,Germany,,,,,,
51-100,51-100,Imperial College London,United Kingdom,,,,,,
51-100,,Kyoto University,Japan,,,,,,
51-100,28  ,Lund University,Sweden,,,,,,
51-100,51-100,Michigan State University,United States,,,,,,
51-100,51-100,Monash University,Australia,,,,,,
51-100,51-100,Nagoya University,Japan,,,,,,
51-100,,New York University (NYU),United States,,,,,,
51-100,,Politecnico di Milano,Italy,,,,,,
51-100,,Rheinische Friedrich-Wilhelms-Universität Bonn,Germany,,,,,,
51-100,101-120,Sapienza University of Rome,Italy,,,,,,
51-100,37  ,Seoul National University,South Korea,,,,,,
51-100,51-100,Stellenbosch University,South Africa,,,,,,
51-100,51-100,The Ohio State University,United States,,,,,,
51-100,51-100,The University of Auckland,New Zealand,,,,,,
51-100,51-100,The University of Sheffield,United Kingdom,,,,,,
51-100,51-100,The University of Warwick,United Kingdom,,,,,,
51-100,,The University of Western Australia,Australia,,,,,,
51-100,,Tsinghua University,China (Mainland),,,,,,
51-100,,Universidad Nacional de Colombia,Colombia,,,,,,
51-100,,Universidade de São Paulo,Brazil,,,,,,
51-100,51-100,Universitas Indonesia,Indonesia,,,,,,
51-100,,Universitat de Barcelona,Spain,,,,,,
51-100,,University of Antwerp,Belgium,,,,,,
51-100,51-100,University of Bath,United Kingdom,,,,,,
51-100,51-100,University of Birmingham,United Kingdom,,,,,,
51-100,47=,University of Copenhagen,Denmark,,,,,,
51-100,101-120,University of Ghana,Ghana,,,,,,
51-100,,University of Gothenburg,Sweden,,,,,,
51-100,22=,University of Göttingen,Germany,,,,,,
51-100,51-100,University of Groningen,Netherlands,,,,,,
51-100,51-100,University of Kwazulu-Natal,South Africa,,,,,,
